Date,Quantity,UnitPrice,ItemsInCart,ReferralSource,TotalPrice,CouponUsed,PricePerItem,OrderMonth,OrderYear,AverageCartValue,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,CouponCode_SAVE10,CouponCode_WINTER15
2024-02-17,3,49.14,7,0,147.42,1,49.14,2,2024,21.06,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
2024-10-15,2,180.5,6,4,361.0,1,180.5,10,2024,60.17,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2023-08-30,3,201.49,4,1,604.47,1,201.49,8,2023,151.12,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2023-03-27,2,393.33,3,3,786.66,1,393.33,3,2023,262.22,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
2023-07-17,1,473.96,3,2,473.96,1,473.96,7,2023,157.99,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2023-01-24,2,533.81,3,0,1067.62,1,533.81,1,2023,355.87,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2024-03-02,1,423.4,3,4,423.4,1,423.4,3,2024,141.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2025-03-26,1,431.44,3,1,431.44,1,431.44,3,2025,143.81,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2023-01-23,5,224.0,9,2,1120.0,1,224.0,1,2023,124.44,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2023-05-08,5,62.51,9,3,312.55,1,62.51,5,2023,34.73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2024-11-17,4,342.95,6,2,1371.8,1,342.95,11,2024,228.63,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-01-29,2,49.62,2,2,99.24,1,49.62,1,2023,49.62,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
2025-04-09,4,273.25,5,4,1093.0,1,273.25,4,2025,218.6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2024-10-30,2,230.95,3,4,461.9,1,230.95,10,2024,153.97,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2024-07-24,1,399.98,3,0,399.98,1,399.98,7,2024,133.33,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2024-03-06,5,59.55,6,4,297.75,1,59.55,3,2024,49.62,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2024-02-22,1,472.74,6,2,472.74,1,472.74,2,2024,78.79,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
2023-11-21,4,160.07,5,0,640.28,1,160.07,11,2023,128.06,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2024-09-20,3,423.53,6,4,1270.59,1,423.53,9,2024,211.76,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2025-03-22,2,426.7,5,4,853.4,1,426.7,3,2025,170.68,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
2023-06-30,3,500.08,6,1,1500.24,1,500.08,6,2023,250.04,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2023-05-01,5,536.72,10,0,2683.6,1,536.72,5,2023,268.36,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2023-06-05,1,162.77,4,1,162.77,1,162.77,6,2023,40.69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2023-01-07,4,576.52,5,1,2306.08,1,576.52,1,2023,461.22,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2024-12-07,2,465.15,2,1,930.3,1,465.15,12,2024,465.15,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
2025-05-08,2,534.43,5,1,1068.86,1,534.43,5,2025,213.77,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2024-10-14,2,76.74,7,3,153.48,1,76.74,10,2024,21.93,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2024-12-19,1,245.89,3,2,245.89,1,245.89,12,2024,81.96,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2025-02-27,3,256.46,4,4,769.38,1,256.46,2,2025,192.34,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
2023-08-20,2,344.02,4,3,688.04,1,344.02,8,2023,172.01,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2023-12-05,3,611.45,4,3,1834.35,1,611.45,12,2023,458.59,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2024-05-06,2,151.66,6,3,303.32,1,151.66,5,2024,50.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-12-14,3,499.21,8,3,1497.63,1,499.21,12,2023,187.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-04-21,2,550.18,3,4,1100.36,1,550.18,4,2025,366.79,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2024-02-10,1,317.25,1,1,317.25,1,317.25,2,2024,317.25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2024-06-26,4,550.14,4,3,2200.56,1,550.14,6,2024,550.14,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2023-07-19,2,209.94,3,0,419.88,1,209.94,7,2023,139.96,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2023-08-26,2,80.77,4,2,161.54,1,80.77,8,2023,40.38,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-10-07,1,30.44,1,0,30.44,1,30.44,10,2023,30.44,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
2023-07-31,1,179.22,6,3,179.22,1,179.22,7,2023,29.87,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2024-12-30,1,388.33,2,1,388.33,1,388.33,12,2024,194.16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2024-09-08,1,586.44,5,1,586.44,1,586.44,9,2024,117.29,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
2024-05-18,4,488.78,5,2,1955.12,1,488.78,5,2024,391.02,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2025-03-27,1,280.25,5,0,280.25,1,280.25,3,2025,56.05,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2025-06-24,3,344.4,3,1,1033.2,1,344.4,6,2025,344.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-05-21,3,479.21,5,4,1437.63,1,479.21,5,2023,287.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2023-01-22,5,314.27,6,3,1571.35,1,314.27,1,2023,261.89,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2023-01-15,4,474.69,6,2,1898.76,1,474.69,1,2023,316.46,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2024-09-11,4,593.27,5,1,2373.08,1,593.27,9,2024,474.62,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2024-08-21,1,417.1,3,4,417.1,1,417.1,8,2024,139.03,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2024-03-24,4,122.2,7,1,488.8,1,122.2,3,2024,69.83,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-08-22,2,43.15,3,0,86.3,1,43.15,8,2023,28.77,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2025-02-02,1,564.86,6,4,564.86,1,564.86,2,2025,94.14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2025-06-25,3,130.61,4,1,391.83,1,130.61,6,2025,97.96,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2023-12-30,5,81.7,6,3,408.5,1,81.7,12,2023,68.08,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2024-11-15,5,127.18,9,4,635.9,1,127.18,11,2024,70.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-12-09,4,12.1,8,2,48.4,1,12.1,12,2024,6.05,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2023-12-11,3,490.92,5,0,1472.76,1,490.92,12,2023,294.55,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023-05-11,3,478.65,4,4,1435.95,1,478.65,5,2023,358.99,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-05-26,1,629.21,2,3,629.21,1,629.21,5,2023,314.6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2025-06-10,3,434.45,4,4,1303.35,1,434.45,6,2025,325.84,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2024-12-22,4,589.44,5,1,2357.76,1,589.44,12,2024,471.55,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2023-05-03,4,433.45,4,1,1733.8,1,433.45,5,2023,433.45,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-06-24,5,90.87,5,3,454.35,1,90.87,6,2023,90.87,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2023-09-26,3,398.17,5,0,1194.51,1,398.17,9,2023,238.9,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
2024-03-31,4,382.88,6,0,1531.52,1,382.88,3,2024,255.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-05-24,1,583.18,5,2,583.18,1,583.18,5,2024,116.64,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2024-08-06,4,175.36,4,3,701.44,1,175.36,8,2024,175.36,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2025-03-10,2,311.91,2,1,623.82,1,311.91,3,2025,311.91,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2023-06-27,3,589.56,6,1,1768.68,1,589.56,6,2023,294.78,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2023-06-08,2,394.3,6,0,788.6,1,394.3,6,2023,131.43,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2024-01-05,4,565.2,9,2,2260.8,1,565.2,1,2024,251.2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
2023-08-22,4,540.41,6,4,2161.64,1,540.41,8,2023,360.27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023-08-28,2,165.49,4,3,330.98,1,165.49,8,2023,82.74,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
2024-09-09,3,146.73,8,0,440.19,1,146.73,9,2024,55.02,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2024-06-19,5,643.03,5,4,3215.15,1,643.03,6,2024,643.03,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2024-10-10,3,225.11,4,1,675.33,1,225.11,10,2024,168.83,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2025-06-05,3,114.81,7,2,344.43,1,114.81,6,2025,49.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-02-25,5,455.33,8,2,2276.65,1,455.33,2,2025,284.58,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2023-09-18,4,182.08,4,0,728.32,1,182.08,9,2023,182.08,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2023-03-15,5,492.75,6,4,2463.75,1,492.75,3,2023,410.62,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-06-10,4,48.61,7,1,194.44,1,48.61,6,2024,27.78,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2023-01-14,4,431.01,7,4,1724.04,1,431.01,1,2023,246.29,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2023-02-11,1,531.18,6,3,531.18,1,531.18,2,2023,88.53,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2023-03-24,4,117.51,7,4,470.04,1,117.51,3,2023,67.15,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2024-06-01,2,232.83,7,3,465.66,1,232.83,6,2024,66.52,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2025-01-21,5,619.52,9,0,3097.6,1,619.52,1,2025,344.18,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2023-01-14,2,228.54,3,0,457.08,1,228.54,1,2023,152.36,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2025-04-12,1,201.58,2,0,201.58,1,201.58,4,2025,100.79,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2023-02-17,3,664.79,6,1,1994.37,1,664.79,2,2023,332.4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2023-11-25,1,381.02,6,2,381.02,1,381.02,11,2023,63.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-03-08,2,70.34,3,0,140.68,1,70.34,3,2023,46.89,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-01-25,4,218.43,9,0,873.72,1,218.43,1,2025,97.08,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2024-07-30,1,582.04,1,0,582.04,1,582.04,7,2024,582.04,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2024-10-24,3,185.4,7,1,556.2,1,185.4,10,2024,79.46,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2023-09-08,3,465.05,3,0,1395.15,1,465.05,9,2023,465.05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2023-03-27,5,670.75,8,3,3330.4075,1,666.08,3,2023,416.3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2024-12-28,5,48.38,9,0,241.9,1,48.38,12,2024,26.88,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2023-09-17,3,592.87,3,4,1778.61,1,592.87,9,2023,592.87,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2024-04-21,1,220.77,5,3,220.77,1,220.77,4,2024,44.15,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2025-05-07,3,309.22,7,2,927.66,1,309.22,5,2025,132.52,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-01,1,410.6,2,4,410.6,1,410.6,1,2023,205.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2024-01-17,5,190.08,9,3,950.4,1,190.08,1,2024,105.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-01-27,5,498.48,8,2,2492.4,1,498.48,1,2025,311.55,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
2023-11-27,5,374.99,9,1,1874.95,1,374.99,11,2023,208.33,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
2023-03-19,4,291.35,6,1,1165.4,1,291.35,3,2023,194.23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2023-03-08,1,535.5,5,4,535.5,1,535.5,3,2023,107.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2023-10-09,5,502.71,7,2,2513.55,1,502.71,10,2023,359.08,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2025-06-11,2,534.67,7,4,1069.34,1,534.67,6,2025,152.76,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-04-11,4,629.34,4,3,2517.36,1,629.34,4,2023,629.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2023-11-30,1,410.78,1,3,410.78,1,410.78,11,2023,410.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15,2,533.02,2,1,1066.04,1,533.02,4,2024,533.02,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-07-06,3,278.04,5,3,834.12,1,278.04,7,2023,166.82,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2024-07-28,4,283.79,8,2,1135.16,1,283.79,7,2024,141.9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2024-11-06,2,512.65,5,0,1025.3,1,512.65,11,2024,205.06,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
2025-05-03,4,275.5,8,2,1102.0,1,275.5,5,2025,137.75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-10,3,469.32,3,2,1407.96,1,469.32,8,2023,469.32,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-02-17,4,21.07,4,2,84.28,1,21.07,2,2023,21.07,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2023-10-27,4,263.93,4,1,1055.72,1,263.93,10,2023,263.93,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-01-22,3,501.3,3,1,1503.9,1,501.3,1,2025,501.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2023-01-08,1,84.8,5,3,84.8,1,84.8,1,2023,16.96,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2023-03-28,4,450.75,6,0,1803.0,1,450.75,3,2023,300.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
2025-06-20,4,302.05,6,2,1208.2,1,302.05,6,2025,201.37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2025-06-23,2,199.7,4,0,399.4,1,199.7,6,2025,99.85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-04,2,68.81,5,4,137.62,1,68.81,8,2023,27.52,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
2024-04-27,1,44.35,1,3,44.35,1,44.35,4,2024,44.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2024-11-26,2,250.98,5,2,501.96,1,250.98,11,2024,100.39,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-12-21,1,298.06,3,2,298.06,1,298.06,12,2023,99.35,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2023-04-10,1,583.9,1,0,583.9,1,583.9,4,2023,583.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2025-05-31,3,528.14,3,0,1584.42,1,528.14,5,2025,528.14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2023-11-18,3,684.14,3,3,2052.42,1,684.14,11,2023,684.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2023-09-06,5,272.77,7,0,1363.85,1,272.77,9,2023,194.84,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2024-06-13,4,400.07,5,4,1600.28,1,400.07,6,2024,320.06,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-04,5,219.78,8,1,1098.9,1,219.78,8,2023,137.36,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2024-03-02,3,146.91,6,2,440.73,1,146.91,3,2024,73.46,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2025-04-30,2,411.49,4,3,822.98,1,411.49,4,2025,205.74,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2025-05-06,2,465.18,2,2,930.36,1,465.18,5,2025,465.18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2024-12-15,2,319.91,3,2,639.82,1,319.91,12,2024,213.27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2023-12-27,1,217.56,3,1,217.56,1,217.56,12,2023,72.52,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2023-12-13,2,105.57,5,2,211.14,1,105.57,12,2023,42.23,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
2023-12-01,5,444.76,7,0,2223.8,1,444.76,12,2023,317.69,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2025-01-02,2,399.04,3,4,798.08,1,399.04,1,2025,266.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-18,4,534.48,9,3,2137.92,1,534.48,12,2024,237.55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2023-07-20,4,408.21,9,3,1632.84,1,408.21,7,2023,181.43,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2023-02-27,1,424.4,6,4,424.4,1,424.4,2,2023,70.73,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
2024-11-08,2,269.83,4,0,539.66,1,269.83,11,2024,134.92,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2025-02-21,2,564.58,4,1,1129.16,1,564.58,2,2025,282.29,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
2024-05-16,1,331.06,5,3,331.06,1,331.06,5,2024,66.21,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
2023-10-31,1,299.35,5,0,299.35,1,299.35,10,2023,59.87,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2023-02-17,4,101.32,7,4,405.28,1,101.32,2,2023,57.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2024-03-29,1,211.14,1,1,211.14,1,211.14,3,2024,211.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2023-07-27,3,65.86,8,2,197.58,1,65.86,7,2023,24.7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2025-06-24,1,641.39,1,4,641.39,1,641.39,6,2025,641.39,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-12-28,5,536.58,5,2,2682.9,1,536.58,12,2023,536.58,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2024-09-14,2,500.29,7,2,1000.58,1,500.29,9,2024,142.94,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
2025-03-04,3,86.29,6,3,258.87,1,86.29,3,2025,43.14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2023-05-27,2,384.14,2,0,768.28,1,384.14,5,2023,384.14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2025-01-04,1,594.96,6,1,594.96,1,594.96,1,2025,99.16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2024-04-07,1,427.82,2,0,427.82,1,427.82,4,2024,213.91,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2025-04-04,4,662.94,8,3,2651.76,1,662.94,4,2025,331.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-08-15,2,148.22,7,3,296.44,1,148.22,8,2023,42.35,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
2025-04-06,1,254.12,1,0,254.12,1,254.12,4,2025,254.12,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2024-03-24,3,664.46,4,2,1993.38,1,664.46,3,2024,498.34,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2024-04-16,4,600.81,9,0,2403.24,1,600.81,4,2024,267.03,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
2025-02-08,5,68.34,6,4,341.7,1,68.34,2,2025,56.95,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2025-06-28,4,430.83,8,4,1723.32,1,430.83,6,2025,215.42,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2023-08-05,5,431.69,10,1,2158.45,1,431.69,8,2023,215.84,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2024-04-11,4,512.06,5,2,2048.24,1,512.06,4,2024,409.65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2024-11-24,3,539.91,8,0,1619.73,1,539.91,11,2024,202.47,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-03-18,5,316.07,10,2,1580.35,1,316.07,3,2023,158.04,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2024-08-31,5,404.39,10,4,2021.95,1,404.39,8,2024,202.2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2025-03-19,1,600.54,4,2,600.54,1,600.54,3,2025,150.14,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2024-04-18,5,186.28,8,0,931.4,1,186.28,4,2024,116.42,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2024-04-04,4,214.54,7,4,858.16,1,214.54,4,2024,122.59,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2025-02-02,1,210.7,2,4,210.7,1,210.7,2,2025,105.35,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2023-12-07,2,133.55,7,1,267.1,1,133.55,12,2023,38.16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2023-02-08,1,590.87,6,4,590.87,1,590.87,2,2023,98.48,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2025-03-15,2,363.91,2,4,727.82,1,363.91,3,2025,363.91,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-07-05,5,429.45,5,0,2147.25,1,429.45,7,2023,429.45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2024-08-31,3,223.7,3,0,671.1,1,223.7,8,2024,223.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2025-03-08,2,488.87,4,2,977.74,1,488.87,3,2025,244.44,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-08-11,1,645.46,5,2,645.46,1,645.46,8,2023,129.09,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2023-07-21,1,46.66,6,2,46.66,1,46.66,7,2023,7.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-06-08,1,249.57,3,2,249.57,1,249.57,6,2024,83.19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2024-04-22,3,619.21,6,0,1857.63,1,619.21,4,2024,309.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-01-24,4,217.13,8,0,868.52,1,217.13,1,2025,108.56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
